,title,subtitle,location_x,currency,price,description,other_details,bed,bath,toilet,area,prop_type,location_y,match,pricerange
2,3 BEDROOM FLAT / APARTMENT FOR RENT,"PRINCE ADEMOLA OSINUGA EXCLUSIVE 12NOS CENTRALLY LOCATED 3 BEDROOM APARTMENTS +POOL +GYM +GARDEN +KIDS PLAY AREA +TABLE TENNIS +24HRS POWER ETC @N6.2M EACH X 12, TOTAL N74.4M!",CENTRAL IKOYIOld Ikoyi Ikoyi Lagos,naira,74400000,"PRINCE ADEMOLA OSINUGA EXCLUSIVE 12NOS CENTRALLY LOCATED 3 BEDROOM APARTMENTS +POOL +GYM +GARDEN +KIDS PLAY AREA +TABLE TENNIS +24HRS POWER ETC @N6.2M EACH X 12, TOTAL N74.4M!", FOR RENT: ******STRICTLY FOR DIRECT & CASH READY CLIENTS ONLY. CORPORATE LEASE - MULTIP.. Read more ,3,3,4,Ikoyi,Flat,CENTRAL IKOYIOld Ikoyi Ikoyi Lagos,Old Ikoyi,Above 5M
4,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat ,Off chief Yesufu Abiodun Oniru Victoria Island Lagos,naira,5500000,3 bedroom flat , FOR RENT: The property is a newly built property and comprises of both 2 and 3 bedrooms ap.. Read more ,3,3,4,Island,Flat,Off chief Yesufu Abiodun Oniru Victoria Island Lagos,Victoria Island,Above 5M
5,3 BEDROOM FLAT / APARTMENT FOR RENT,Premium 3 Bedroom Apartment,Ikate Lekki Lagos,naira,3300000,Premium 3 Bedroom Apartment, FOR RENT: CW1528.. Read more ,3,3,4,Lekki,Flat,Ikate Lekki Lagos,Ikate Lekki,2.1M-5M
6,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 Bedroom Apartment,Ikate Lekki Lagos,naira,2700000,Spacious 3 Bedroom Apartment, FOR RENT: CW01524 3 beds for rent 2.7M c 600k caution fee 100k.. Read more ,3,3,3,Lekki,Flat,Ikate Lekki Lagos,Ikate Lekki,2.1M-5M
7,3 BEDROOM FLAT / APARTMENT FOR RENT,FULLY SERVICED 3 BEDROOM APARTMENT FOR RENT IN VICTORIA ISLAND,Surulere Lagos,naira,25000000,FULLY SERVICED 3 BEDROOM APARTMENT FOR RENT IN VICTORIA ISLAND, FOR RENT: Features- • 1 room Bq • Sauna • Balconies • Central Ceiling Speakers • Well.. Read more ,3,4,5,Surulere,Flat,Surulere Lagos,Surulere,Above 5M
12,3 BEDROOM FLAT / APARTMENT FOR RENT,PRINCE ADEMOLA OSINUGA EXCLUSIVE & NEWLY PAINTED / CENTRALLY LOCATED 3 BEDROOM APARTMENT + BQ+ SAUNA +POOL +GYM ETC @N9M / S.C N3.5M,CENTRAL IKOYIOld Ikoyi Ikoyi Lagos,naira,9000000,PRINCE ADEMOLA OSINUGA EXCLUSIVE & NEWLY PAINTED / CENTRALLY LOCATED 3 BEDROOM APARTMENT + BQ+ SAUNA +POOL +GYM ETC @N9M / S.C N3.5M, FOR RENT: ******************STRICTLY FOR DIRECT & CASH READY CLIENTS ONLY! PLEASE BE CE.. Read more ,3,3,4,Ikoyi,Flat,CENTRAL IKOYIOld Ikoyi Ikoyi Lagos,Old Ikoyi,Above 5M
13,3 BEDROOM FLAT / APARTMENT FOR RENT,PRINCE ADEMOLA OSINUGA FRESH LISTING - 3 BEDROOM APARTMENT ON A WHOLE FLOOR + ELEVATOR+ POOL+ GYM + LARGE KITCHEN ETC IN CENTRAL IKOYI @N10M.,CENTRAL IKOYIOld Ikoyi Ikoyi Lagos,naira,10000000,PRINCE ADEMOLA OSINUGA FRESH LISTING - 3 BEDROOM APARTMENT ON A WHOLE FLOOR + ELEVATOR+ POOL+ GYM + LARGE KITCHEN ETC IN CENTRAL IKOYI @N10M., FOR RENT: ************STRICTLY FOR DIRECT & CASH READY CLIENTS ONLY. PRINCE ADEMOLA OSI.. Read more ,3,3,4,Ikoyi,Flat,CENTRAL IKOYIOld Ikoyi Ikoyi Lagos,Old Ikoyi,Above 5M
14,3 BEDROOM FLAT / APARTMENT FOR RENT,Three Bedroom flat ,Parkview Estate Ikoyi Lagos,naira,5000000,Three Bedroom flat , FOR RENT: 3 bedroom Flat / Apartment for rent Parkview Estate Ikoyi Lagos.. Read more ,3,3,,Ikoyi,Flat,Parkview Estate Ikoyi Lagos,Parkview Ikoyi,2.1M-5M
17,3 BEDROOM FLAT / APARTMENT FOR RENT,PRINCE ADEMOLA OSINUGA SPECIALS FOR V.V.I.P's WITH GOOD TASTE - LUXURY 3 BEDROOM APARTMENT @N23M!,BANANA ISLAND ESTATEBanana Island Ikoyi Lagos,naira,23000000,PRINCE ADEMOLA OSINUGA SPECIALS FOR V.V.I.P's WITH GOOD TASTE - LUXURY 3 BEDROOM APARTMENT @N23M!, FOR RENT: STRICTLY FOR DIRECT & CASH READY CLIENTS ONLY! PRINCE ADEMOLA OSINUGA SPECIAL.. Read more ,3,3,4,Ikoyi,Flat,BANANA ISLAND ESTATEBanana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
18,3 BEDROOM FLAT / APARTMENT FOR RENT,Beautiful 2 and 3 bedroom waterfront apartment,-Victoria Island Lagos,naira,14000000,Beautiful 2 and 3 bedroom waterfront apartment, FOR RENT: Spacious 2 and 3 bedroom waterfront apartment located in a nice area in Victoria.. Read more ,3,3,4,Island,Flat,#NAME?,Victoria Island,Above 5M
